,datetime,aqi
0,18/01/2023,26
1,17/01/2023,45
2,16/01/2023,49
3,15/01/2023,68
4,14/01/2023,65
5,13/01/2023,54
6,12/01/2023,57
7,11/01/2023,59
8,10/01/2023,72
9,09/01/2023,54
10,08/01/2023,41
11,07/01/2023,38
12,06/01/2023,46
13,05/01/2023,46
14,04/01/2023,26
15,03/01/2023,31
16,02/01/2023,60
17,01/01/2023,59
18,31/12/2022,57
19,30/12/2022,61
20,29/12/2022,60
21,28/12/2022,55
22,27/12/2022,51
23,26/12/2022,46
24,25/12/2022,45
25,24/12/2022,57
26,23/12/2022,44
27,22/12/2022,25
28,21/12/2022,31
29,20/12/2022,27
30,19/12/2022,29
31,18/12/2022,33
32,17/12/2022,29
