,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2022-12-05,1670169600,87.0,77.2,79.8,96.6,77.2,81.8,75.6,87.5,0.33,100.0,8.33,['rain'],0.0,,7.2,9.4,42.5,1008.4,83.8,5.7,241.5,20.7,9.0,30.0,06:53:38,1670194418,18:56:35,1670237795,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', '48699099999', 'WSSL']",obs
1,2022-12-06,1670256000,89.3,75.4,80.4,98.0,75.4,84.2,74.6,83.4,0.0,0.0,0.0,['rain'],0.0,,9.6,7.4,21.5,1008.0,86.1,5.7,256.1,22.2,9.0,30.0,06:54:03,1670280843,18:57:00,1670324220,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
2,2022-12-07,1670342400,88.6,77.2,81.1,97.6,77.2,85.2,75.5,83.7,0.084,100.0,4.17,['rain'],0.0,,11.0,5.7,338.5,1007.7,82.0,6.1,277.2,23.8,9.0,30.0,06:54:30,1670367270,18:57:25,1670410645,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
3,2022-12-08,1670428800,86.1,77.0,80.1,95.1,77.0,83.0,75.0,85.0,0.263,100.0,16.67,['rain'],0.0,,14.1,10.3,333.5,1007.6,87.4,6.0,141.6,12.3,6.0,30.0,06:54:56,1670453696,18:57:50,1670497070,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '96087099999', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
4,2022-12-09,1670515200,86.3,75.3,80.1,92.9,75.3,83.0,73.0,79.6,0.711,100.0,4.17,['rain'],0.0,,19.7,6.7,283.3,1007.5,81.9,6.3,164.4,14.2,7.0,30.0,06:55:23,1670540123,18:58:17,1670583497,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
5,2022-12-10,1670601600,86.0,76.3,80.6,93.1,76.3,84.0,73.9,80.7,0.016,100.0,4.17,['rain'],0.0,,22.1,6.2,336.8,1007.7,87.6,6.2,256.7,22.2,8.0,30.0,06:55:51,1670626551,18:58:43,1670669923,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
6,2022-12-11,1670688000,80.4,74.7,77.9,85.3,74.7,78.1,74.5,89.3,1.038,100.0,25.0,['rain'],0.0,,6.9,8.4,311.9,1008.7,80.7,5.8,247.7,21.4,9.0,10.0,06:56:18,1670712978,18:59:10,1670756350,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
7,2022-12-12,1670774400,85.3,75.2,80.2,91.6,75.2,83.7,73.7,81.2,0.0,0.0,0.0,['rain'],0.0,,12.8,5.8,16.3,1008.7,88.1,6.1,189.0,16.4,9.0,30.0,06:56:46,1670799406,18:59:37,1670842777,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48698099999', '48679099999', 'WSAP', '48694099999', '48699099999', 'WSSL']",obs
8,2022-12-13,1670860800,86.0,76.4,79.0,95.0,76.4,80.7,75.3,89.1,0.099,100.0,4.17,['rain'],0.0,,16.8,11.6,40.0,1008.9,80.1,5.9,140.3,12.2,5.0,30.0,06:57:15,1670885835,19:00:05,1670929205,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48698099999', '48679099999', 'WSAP', '48694099999', 'WSSS', '48699099999', 'WIDD', 'WSSL', 'WMKJ']",obs
9,2022-12-14,1670947200,80.4,76.6,77.9,85.8,76.6,78.1,75.1,91.5,0.057,100.0,25.0,['rain'],0.0,,13.4,8.3,5.4,1009.2,85.4,6.0,179.8,15.5,7.0,30.0,06:57:44,1670972264,19:00:33,1671015633,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48698099999', 'WSAP', '48679099999', 'WSSS', '48694099999', 'WIDD', '48699099999', 'WSSL', 'WMKJ']",obs
